"","Bootstrap Mean","Bootstrap 95%-CI LB","Bootstrap 95%-CI UB"
"Low DASS",0.013,0.003,0.026
"Moderate DASS",0.006,-0.001,0.015
"High DASS",0,-0.007,0.006
