"","Bootstrap Mean","Bootstrap 95%-CI LB","Bootstrap 95%-CI UB"
"Early Onboarding Phase, Low DASS",0.012,0.002,0.027
"Early Onboarding Phase, Moderate DASS",0.006,-0.001,0.015
"Early Onboarding Phase, High DASS",-0.001,-0.008,0.006
"Late Onboarding Phase, Low DASS",0.014,0,0.031
"Late Onboarding Phase, Moderate DASS",0.008,-0.003,0.019
"Late Onboarding Phase, High DASS",0.001,-0.009,0.011
