"","X","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB"
"1","Early Onboarding Phase, Low DASS",0.012,0.002,0.027,0.012,0.002,0.026
"2","Early Onboarding Phase, Moderate DASS",0.006,-0.001,0.015,0.005,-0.001,0.015
"3","Early Onboarding Phase, High DASS",-0.001,-0.009,0.006,-0.001,-0.008,0.006
"4","Late Onboarding Phase, Low DASS",0.014,-0.001,0.031,0.011,0,0.026
"5","Late Onboarding Phase, Moderate DASS",0.007,-0.003,0.019,0.006,-0.002,0.016
"6","Late Onboarding Phase, High DASS",0.001,-0.009,0.011,0.001,-0.008,0.009
