"","X","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB"
"1","Low DASS",0.013,0.003,0.026,0.013,0.003,0.026
"2","Moderate DASS",0.006,-0.001,0.015,0.006,-0.001,0.015
"3","High DASS",0,-0.007,0.006,0,-0.007,0.006
