"","X","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB"
"1","Early Onboarding Phase",0,-0.006,0.006,0,-0.006,0.006
"2","Late Onboarding Phase",0.002,-0.007,0.011,0.002,-0.006,0.009
