"","Bootstrap Mean","Bootstrap 95%-CI LB","Bootstrap 95%-CI UB"
"Difference between Early Onboarding Phase and Late Onboarding Phase when Low Psychological Distress",-0.002,-0.02,0.015
"Difference between Early Onboarding Phase and Late Onboarding Phase when Moderate Psychological Distress",-0.002,-0.013,0.009
"Difference between Early Onboarding Phase and Late Onboarding Phase when High Psychological Distress",-0.002,-0.012,0.008
