"contrast","estimates","se","p"
"Qualitative Role Overload (time=0)","0.15***","0.04","0.000"
"Quantitative Role Overload (time=0)","0.11***","0.03","0.000"
"Norms (time=0)","0.01","0.03","0.765"
"Qualitative Role Overload (time=1)","0.00","0.04","0.914"
"Quantitative Role Overload (time=1)","-0.03","0.06","0.646"
"Norms (time=1)","0.07†","0.04","0.088"
