"","Bootstrap Mean","Bootstrap 95%-CI LB","Bootstrap 95%-CI UB"
"Difference between Early Onboarding Phase and Late Onboarding Phase when Low Psychological Distress",0.007,-0.026,0.039
"Difference between Early Onboarding Phase and Late Onboarding Phase when Moderate Psychological Distress",0.001,-0.023,0.025
"Difference between Early Onboarding Phase and Late Onboarding Phase when High Psychological Distress",-0.004,-0.024,0.014
