"","Bootstrap Mean","Bootstrap 95%-CI LB","Bootstrap 95%-CI UB"
"Early Onboarding Phase, Low DASS",0.034,0.01,0.065
"Early Onboarding Phase, Moderate DASS",0.028,0.009,0.051
"Early Onboarding Phase, High DASS",0.021,0.006,0.039
"Late Onboarding Phase, Low DASS",0.028,0.007,0.056
"Late Onboarding Phase, Moderate DASS",0.026,0.009,0.048
"Late Onboarding Phase, High DASS",0.023,0.008,0.043
