"contrast","estimates","se","p"
"Qualitative Role Overload (time=0)","0.12*","0.05","0.016"
"Quantitative Role Overload (time=0)","0.11†","0.06","0.058"
"Norms (time=0)","0.16**","0.05","0.001"
"Qualitative Role Overload (time=1)","0.00","0.05","0.995"
"Quantitative Role Overload (time=1)","0.02","0.09","0.865"
"Norms (time=1)","0.18**","0.07","0.010"
