"","Bootstrap Mean","Bootstrap 95%-CI LB","Bootstrap 95%-CI UB"
"Difference between Early Onboarding Phase and Late Onboarding Phase when Low Psychological Distress",-0.005,-0.044,0.031
"Difference between Early Onboarding Phase and Late Onboarding Phase when Moderate Psychological Distress",-0.009,-0.038,0.019
"Difference between Early Onboarding Phase and Late Onboarding Phase when High Psychological Distress",-0.013,-0.036,0.007
