"contrast","estimates","se","p"
"Qualitative Role Overload (time=0)","0.13**","0.05","0.010"
"Quantitative Role Overload (time=0)","0.11†","0.06","0.067"
"Norms (time=0)","0.14***","0.04","0.001"
"Qualitative Role Overload (time=1)","0.00","0.05","0.995"
"Quantitative Role Overload (time=1)","0.15*","0.07","0.031"
"Norms (time=1)","0.14*","0.06","0.013"
