"","X","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB"
"1","Early Onboarding Phase",0.017,0.003,0.035,0.019,0.006,0.036
"2","Late Onboarding Phase",0.029,0.011,0.051,0.023,0.008,0.042
