"","X","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB"
"1","Early Onboarding Phase",0.015,0.002,0.031,0.017,0.005,0.032
"2","Late Onboarding Phase",0.029,0.011,0.052,0.023,0.008,0.042
