"","X","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB","Bootstrap.Mean","Bootstrap.95..CI.LB","Bootstrap.95..CI.UB"
"1","Low DASS",0.034,0.014,0.058,0.034,0.014,0.058
"2","Moderate DASS",0.028,0.012,0.047,0.028,0.012,0.047
"3","High DASS",0.022,0.009,0.038,0.022,0.009,0.038
