"","Bootstrap Mean","Bootstrap 95%-CI LB","Bootstrap 95%-CI UB"
"Early Onboarding Phase, Low DASS",0.03,0.005,0.061
"Early Onboarding Phase, Moderate DASS",0.024,0.004,0.048
"Early Onboarding Phase, High DASS",0.018,0.003,0.037
"Late Onboarding Phase, Low DASS",0.036,0.01,0.071
"Late Onboarding Phase, Moderate DASS",0.033,0.012,0.06
"Late Onboarding Phase, High DASS",0.03,0.011,0.052
