"","Bootstrap Mean","Bootstrap 95%-CI LB","Bootstrap 95%-CI UB"
"Low DASS",0.034,0.014,0.058
"Moderate DASS",0.028,0.012,0.047
"High DASS",0.022,0.009,0.038
